id;parameter_name;display_name_de;display_name_en;display_name_fr;display_name_it
1;Dinar Principal;Unbranded deposit hacking;Burundi Creative;AI Isle Computers;action-items
2;Soft Georgia;Path;24/7 white Profound;Fantastic;Litas web-enabled
3;paradigms Sausages optical;Accounts Shoes;Jordan Viaduct Visionary;Corporate Car;optical North primary
4;portals Rue;Central Principal Unbranded;Cambridgeshire Rubber Orchestrator;Hills Philippines withdrawal;1080p
5;up Avon transmit;improvement Small Licensed;online;Brand;Maine Jersey Mews
6;Plastic;Legacy;Australian Republic real-time;Islands navigating;Practical Serbian
7;Identity;throughput Account real-time;azure distributed Gorgeous;deposit Wooden;Yemen Accountability Response
8;Mississippi digital;enable Nicaragua;Mississippi Chicken;Industrial Coves;SMS Prairie
9;Shirt Cayman;Aruba Plaza Knolls;Human explicit;New Plastic;Account seize program
10;user-centric;Security bypassing;black workforce Colombian;program Gorgeous;Extended Rustic
