id;parameter_name;display_name_de;display_name_en;display_name_fr;display_name_it
1;Turnpike transmitter;generate;innovative Money;Gloves;PCI Incredible
2;Mission Solutions synthesize;Forward auxiliary;Card;Bacon plug-and-play;1080p Progressive olive
3;Balanced;application;coherent envisioneer Investment;throughput synthesizing THX;Colorado Texas
4;deposit auxiliary;methodical Identity;Public-key;Loan Engineer mission-critical;Cotton plum
5;extend;De-engineered;Accountability application Facilitator;Director deposit;Manager
6;Investment SMS;disintermediate Central e-services;generate;Garden Multi-lateral monitor;IB Metal one-to-one
7;hack benchmark;incentivize invoice transmit;value-added Agent;Dinar Lira Metal;Refined auxiliary
8;card Sausages;Granite Buckinghamshire Home;Valley encryption optical;Corporate Developer Berkshire;Human optical
9;proactive Delaware Internal;Steel SMTP;IB IB;brand payment Point;Cotton Associate
10;turquoise;Marketing;indexing Tools;Tenge;Account green
