id;type;positive_action_definition;negative_action_definition;negative_action_property_value;display_name_de;display_name_en;display_name_fr;display_name_it
1;AUTO_OFFER;Ohio panel;Sleek array;Realigned primary Computer;synthesize gold Licensed;auxiliary;Leone Cambridgeshire cross-platform;utilize Granite
2;AUTO_OFFER;interactive;connect port;focus;Comoro;backing microchip;Parkways;FTP Branding parsing
3;AUTO_OFFER;Loan Bedfordshire Paradigm;Developer Borders payment;Massachusetts Horizontal;programming online;connect 1080p;quantifying Togo foreground;Steel mobile Darussalam
4;AUTO_DECLINE;Computer relationships synergize;Future Tools Savings;mindshare Borders;Cambridgeshire;Lead;Avon maroon Quality;Maine platforms
5;AUTO_DECLINE;Australian;Bosnia;SDD navigating;Licensed;USB frame Future;hacking Savings;deposit structure
6;AUTO_OFFER;neural help-desk;payment;payment wireless;primary Shirt Steel;PNG Handcrafted;Reunion Summit;Mobility bus teal
7;AUTO_OFFER;24/365;transparent Albania Loan;Pennsylvania Missouri;ADP;auxiliary;transmit;Applications Car Frozen
8;AUTO_DECLINE;Buckinghamshire uniform;Rupee;Chair;Station;utilize;Port Florida;migration Car Usability
9;AUTO_OFFER;District;programming;boliviano Human;New deposit;Streets;Granite;invoice Croatia alarm
10;AUTO_DECLINE;Money Account hierarchy;Credit Soft;Tennessee Village;Accounts Junctions;Salad open-source;Oval;Buckinghamshire Research withdrawal
