id;property_name;property_type;display_name_de;display_name_en;display_name_fr;display_name_it
1;Haiti payment;DATE;circuit Cambodia;transmit sexy;Licensed;New
2;Account invoice Cotton;LIST_OF_STRINGS;static Small parse;1080p Liberia Investor;RSS Kina Account;Health
3;hack markets GB;DATE;Cotton USB;Central Upgradable;Games invoice open-source;Sleek experiences
4;HTTP communities fuchsia;LIST_OF_STRINGS;monitor Ergonomic;architectures;Handmade deposit;hack Rustic Identity
5;Tuna revolutionary Djibouti;STRING;withdrawal eyeballs;Technician improvement;Beauty;system Venezuela Washington
6;York;LIST_OF_STRINGS;Assurance Frozen program;harness;West;navigate
7;Data client-driven Oklahoma;OTHERS_what_ever;Metical Ukraine;Bike;leading-edge Orchestrator;online Verde
8;Ergonomic;DATE;open-source Cambridgeshire Global;Loan;Pants Glen deposit;National Parkways
9;proactive;NUMBER;Rubber Refined;Dollar;deliver;connecting backing interface
10;Functionality;LIST_OF_STRINGS;Islands International;Regional;Court;users
