id;property_name;display_name_de;display_name_en;display_name_fr;display_name_it
1;Outdoors;pink;Practical navigate Lead;non-volatile;Accountability Games Practical
2;Associate;Home Account Cheese;Venezuela;protocol expedite XML;Kip input Divide
3;Multi-layered Pants;program;Steel plum back-end;driver Personal;invoice Kentucky revolutionary
4;Alaska York;Avon pink withdrawal;Small integrated withdrawal;Ergonomic e-markets;teal Communications fuchsia
5;Steel synthesizing;Concrete;Sports Cambridgeshire;Licensed;Metal models
6;Concrete Music USB;Product scalable;deploy context-sensitive;Generic;web-readiness Polynesia Bedfordshire
7;SDD invoice Handmade;up;Account well-modulated Books;Division;collaboration Incredible
8;Dinar navigate Dollar;Investment open-source Dalasi;purple global Louisiana;Supervisor transform Sleek;Electronics
9;deposit;driver Creative;Hryvnia deposit Tools;Virginia Chief Sleek;open-source overriding context-sensitive
10;Shoes;port;quantifying installation 6th;next-generation;value-added Tasty monitoring
