id;parameter_name;display_name_de;display_name_en;display_name_fr;display_name_it
1;purple syndicate microchip;Car state;Gorgeous Buckinghamshire Concrete;deliver;Chicken backing
2;interactive Executive SMTP;Pants Parkway e-commerce;Square Pizza;invoice Account;Krona Product
3;pixel transmit;backing navigate silver;compress;Electronics 1080p Technician;Bike
4;Unit Oklahoma;Fully-configurable input haptic;Motorway;Principal Corporate calculate;bypassing XSS
5;programming;Internal;robust;Applications;Chair Fantastic
6;multimedia Maryland deposit;Ergonomic;Michigan Borders;Canadian base;mobile white
7;reboot Buckinghamshire;Bulgaria generation 1080p;Account Hat Practical;lavender capacitor SMTP;wireless engineer
8;collaborative Bedfordshire copying;client-server content-based;Concrete;reciprocal;Steel Handmade mission-critical
9;Multi-tiered;24/365 Soft;management;Automotive parsing;Berkshire dynamic
10;generate navigating;Avon;Fantastic Frozen withdrawal;Rubber;payment Coordinator
